time	aortic_valve_pos	mitral_valve_pos	muscle_length	muscle_stress	muscle_ATP_used_per_liter_per_s	muscle_ATP_concentration	hr_new_beat	hr_heart_rate_bpm	memb_Ca_cytosol	memb_Ca_sr	memb_activation	memb_t_open_left_s	memb_k_serca	memb_k_leak	memb_k_active	memb_J_release	memb_J_uptake	mito_volume	mito_ATP_generated_M_per_liter_per_s	fs_muscle_length	fs_muscle_stress	fs_hs_length	fs_hs_stress_titin	fs_hs_stress_extracellular	fs_hs_stress_viscous	fs_hs_stress_total	fs_hs_a_pop_0	fs_hs_a_pop_1	fs_hs_m_pop_0	fs_hs_m_pop_1	fs_hs_m_pop_2	fs_hs_m_pop_3	fs_hs_c_pop_0	fs_hs_c_pop_1	fs_hs_c_pop_2	fs_sc_extension	fs_sc_last_extension	fs_sc_force	vent_wall_volume	vent_wall_thickness	vent_chamber_radius	vent_chamber_height	vent_n_hs	vent_stroke_work_J	vent_stroke_energy_used_J	vent_efficiency	vent_ejection_fraction	vent_ATP_used_per_s	vent_stroke_volume	vent_cardiac_output	rc_1_C	rc_heart_rate_t_RR_interval_s	rc_2_C	rc_membranes_k_active	rc_3_C	rc_membranes_k_serca	rc_4_C	rc_FiberSim_m_state_1_trans_1_param_1	rc_5_C	rc_FiberSim_k_on	rc_6_C	rc_circulation_resistance_4	rc_7_C	rc_circulation_compliance_7	baro_active	baro_P_set	baro_A	baro_B	gc_1_prop_signal	gc_1_deriv_signal	gc_1_output	gc_1_slope	gc_2_prop_signal	gc_2_deriv_signal	gc_2_output	gc_2_slope	growth_active	circ_blood_volume	pressure_0	pressure_1	pressure_2	pressure_3	pressure_4	pressure_5	pressure_6	volume_0	volume_1	volume_2	volume_3	volume_4	volume_5	volume_6	flow_0	flow_1	flow_2	flow_3	flow_4	flow_5	flow_6
0.11	1	1	986.838	594.422	-0	0.00704356	0	60	4.389e-08	0.000999956	0	-0.11	8	0.0006	0.082	5.99974e-07	3.5112e-07	3.6e-05	0.000396	986.838	594.422	986.778	719.343	50.4778	35.7381	805.56	0.993056	0.00694444	0.904321	0.095679	0	0	1	0	0	0.0594422	0.0592311	594.422	0.1	0.00796963	0.0212983	0.101805	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.2956	0.5	0	0	0	0	0	0	0	0	0	4.5	3.93685	3.16606	2.07572	0.366849	1.62334	1.94418	11.1477	0.096721	0.301278	0.301686	0.100374	0.250164	0.558779	2.891	0.360545	0.0385394	0.0272587	0.00213608	-0.00502596	-0.00641681	-0.460178
0.12	1	1	990.284	648.501	-0	0.00704752	0	60	4.62816e-08	0.000999954	0	-0.12	8	0.0006	0.082	5.99972e-07	3.70253e-07	3.6e-05	0.000396	990.284	648.501	990.219	759.926	56.3427	33.4305	849.701	0.99537	0.00462963	0.878086	0.121914	0	0	1	0	0	0.0648501	0.0646489	648.501	0.1	0.00782794	0.0214573	0.103554	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.296167	0.5	0	0	0	0	0	0	0	0	0	4.5	4.17424	3.43833	2.38329	0.440978	1.76123	2.09351	11.0468	0.0998563	0.301386	0.301931	0.100449	0.250177	0.563246	2.88295	0.343629	0.0367958	0.0263758	0.0024279	-0.00528103	-0.0066455	-0.447666
0.13	1	1	993.515	700.116	-0	0.00705148	0	60	4.84893e-08	0.000999952	0	-0.13	8	0.0006	0.082	5.99971e-07	3.87915e-07	3.6e-05	0.000396	993.515	700.116	993.445	798.248	62.0477	31.3897	891.686	0.990741	0.00925926	0.885802	0.114198	0	0	1	0	0	0.0700116	0.06982	700.116	0.1	0.00769812	0.0216049	0.105204	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.296691	0.5	0	0	0	0	0	0	0	0	0	4.5	4.38853	3.68951	2.67547	0.520318	1.8965	2.23866	10.9495	0.102848	0.301485	0.302163	0.100529	0.250191	0.567588	2.8752	0.328048	0.0349512	0.025351	0.00269394	-0.00550474	-0.00684307	-0.435542
0.14	1	1	996.554	749.332	-0	0.00705544	0	60	5.05273e-08	0.000999949	0	-0.14	8	0.0006	0.082	5.9997e-07	4.04218e-07	3.6e-05	0.000396	996.554	749.332	996.479	834.552	67.6041	29.5725	931.73	0.990741	0.00925926	0.876543	0.123457	0	0	1	0	0	0.0749332	0.0747508	749.332	0.1	0.00757857	0.0217425	0.106767	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.297174	0.5	0	0	0	0	0	0	0	0	0	4.5	4.58219	3.92075	2.95113	0.604304	2.02917	2.37976	10.8555	0.105709	0.301577	0.302382	0.100613	0.250204	0.571809	2.8677	0.313667	0.0330718	0.0242407	0.00293353	-0.00569945	-0.00701182	-0.423789
0.15	1	1	999.424	794.877	-0	0.0070594	0	60	5.24085e-08	0.000999948	0	-0.15	8	0.0006	0.082	5.99969e-07	4.19268e-07	3.6e-05	0.000396	999.424	794.877	999.344	869.065	73.0252	28.0362	968.395	0.993056	0.00694444	0.871914	0.127315	0.000771605	0	1	0	0	0.0794877	0.0793142	794.877	0.1	0.00746797	0.0218712	0.108252	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.297617	0.5	0	0	0	0	0	0	0	0	0	4.5	4.75019	4.13304	3.20979	0.692391	2.15924	2.51694	10.7647	0.108452	0.301661	0.302588	0.100701	0.250217	0.575913	2.86047	0.300728	0.0308574	0.0230814	0.00314674	-0.0058674	-0.00715399	-0.41239
0.16	1	1	1002.14	843.184	-0	0.00706336	0	60	5.41451e-08	0.000999946	0	-0.16	8	0.0006	0.082	5.99968e-07	4.33161e-07	3.6e-05	0.000396	1002.14	843.184	1002.05	901.887	78.308	26.344	1006.54	0.997685	0.00231481	0.888889	0.111111	0	0	1	0	0	0.0843184	0.0841551	843.184	0.1	0.00736523	0.021992	0.109664	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.29803	0.5	0	0	0	0	0	0	0	0	0	4.5	4.92964	4.33025	3.45086	0.784059	2.28675	2.65033	10.677	0.111084	0.30174	0.302779	0.100793	0.25023	0.579904	2.85347	0.287366	0.0299696	0.0219848	0.0033335	-0.00601075	-0.00727173	-0.401332
0.17	1	1	1004.65	899.352	-0	0.00706732	0	60	5.57482e-08	0.000999944	0	-0.17	8	0.0006	0.082	5.99967e-07	4.45986e-07	3.6e-05	0.000396	1004.65	899.352	1004.56	932.461	83.3416	24.5541	1040.36	0.979167	0.0208333	0.861111	0.138889	0	0	1	0	0	0.0899352	0.0897942	899.352	0.1	0.00727155	0.0221032	0.110979	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.298504	0.5	0	0	0	0	0	0	0	0	0	4.5	5.15546	4.55702	3.6812	0.87883	2.4117	2.78006	10.5925	0.113556	0.301831	0.302963	0.100888	0.250242	0.583785	2.84673	0.27185	0.0299218	0.0218957	0.00350296	-0.00613148	-0.0073671	-0.39062
0.18	1	1	1007.04	949.546	-0	0.00707128	0	60	5.7228e-08	0.000999943	0	-0.18	8	0.0006	0.082	5.99966e-07	4.57824e-07	3.6e-05	0.000396	1007.04	949.546	1006.94	961.706	88.2647	23.0134	1461.51	0.981481	0.0185185	0.851852	0.147377	0	0.000771605	1	0	0	0.0949546	0.0944427	949.546	0.1	0.00718401	0.0222082	0.112237	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.298869	0.5	0	0	0	0	0	0	0	0	0	4.5	5.2989	4.73115	3.90394	0.976364	2.53414	2.90623	10.5108	0.115937	0.3019	0.30314	0.100986	0.250255	0.58756	2.84022	0.260594	0.0283871	0.0206802	0.00365947	-0.0062311	-0.00744179	-0.380228
0.19	1	1	1008.93	1124.61	-0	0.00707524	0	60	5.85941e-08	0.000999941	0	-0.19	8	0.0006	0.082	5.99965e-07	4.68753e-07	3.6e-05	0.000396	1008.93	1124.61	1008.81	984.759	92.2215	15.6964	1720.52	0.990741	0.00925926	0.848765	0.149691	0	0.00154321	1	0	0	0.112461	0.111865	1124.61	0.1	0.00711267	0.0222926	0.113246	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.29978	0.5	0	0	0	0	0	0	0	0	0	4.5	6.17831	5.1654	4.13434	1.07632	2.6541	3.02897	10.4338	0.11787	0.302091	0.303329	0.101086	0.250267	0.591232	2.83412	0.212777	0.0506457	0.0257765	0.00382253	-0.00631112	-0.0074974	-0.370244
0.2	1	1	1010.15	1302.85	-0	0.0070792	0	60	5.98551e-08	0.00099994	0	-0.2	8	0.0006	0.082	5.99964e-07	4.78841e-07	3.6e-05	0.000396	1010.15	1302.85	1010.02	999.734	94.8098	9.36854	1361.77	0.986111	0.0138889	0.858025	0.141204	0	0.000771605	1	0	0	0.130285	0.130227	1302.85	0.1	0.0070661	0.0223474	0.113903	160981	-0.00102044	-0.0665837	-0.0153256	0.688746	-0	0.11064	6.64507	0.5	1	0.5	0.082	0.5	8	0.5	40	0.5	5e+08	0.5	800	0.5	0.08	0	90	0.301234	0.5	0	0	0	0	0	0	0	0	0	4.5	7.15218	5.85691	4.45365	1.17906	2.77171	3.14844	10.3643	0.119137	0.302372	0.303594	0.10119	0.250278	0.594807	2.82862	0.160605	0.0647638	0.0350814	0.00409325	-0.0063706	-0.00753475	-0.360792
